# US populated places (Census Gazetteer 2023 coords + PEP 2023 population)
# population >= 1000; id = PP<7-digit GEOID>; LON,LAT order
# Generated by scripts/build_populated_places.py
id,name,lon,lat,elevation_m,state,population
PP0669088,Santa Clarita,-118.50069,34.41650,,CA,224028
PP0665000,San Bernardino,-117.29463,34.14114,,CA,223728
PP5370000,Tacoma,-122.45983,47.25220,,WA,222906
PP1230000,Hialeah,-80.30286,25.86994,,FL,221300
PP2205000,Baton Rouge,-91.13317,30.44044,,LA,219573
PP0648354,Modesto,-121.00305,37.63753,,CA,218915
PP0624680,Fontana,-117.46289,34.10969,,CA,215465
PP4845744,McKinney,-96.66416,33.20112,,TX,213509
PP0649270,Moreno Valley,-117.20569,33.92325,,CA,212392
PP1921000,Des Moines,-93.61024,41.57259,,IA,210381
PP3722920,Fayetteville,-78.97352,35.08277,,NC,209749
PP4967000,Salt Lake City,-111.93099,40.77693,,UT,209593
PP3684000,Yonkers,-73.86745,40.94586,,NY,207657
PP2582000,Worcester,-71.80778,42.26948,,MA,207621
PP3663000,Rochester,-77.61689,43.16993,,NY,207274
PP4659020,Sioux Falls,-96.73196,43.54070,,SD,206410
PP0541000,Little Rock,-92.35856,34.72539,,AR,203842
PP4803000,Amarillo,-101.83311,35.19806,,TX,202408
PP1270600,Tallahassee,-84.25227,30.45353,,FL,202221
PP4830464,Grand Prairie,-97.02080,32.68611,,TX,202134
PP1319000,Columbus,-84.87495,32.51020,,GA,201877
PP1304204,Augusta-Richmond County,-82.07342,33.36553,,GA,200884
PP0454050,Peoria,-112.30804,33.78619,,AZ,198750
PP0654652,Oxnard,-119.20752,34.19944,,CA,198488
PP4740000,Knoxville,-83.94927,35.97068,,TN,198162
PP2053775,Overland Park,-94.69058,38.88904,,KS,197089
PP0107000,Birmingham,-86.79704,33.52717,,AL,196644
PP2634000,Grand Rapids,-85.65557,42.96116,,MI,196608
PP5374060,Vancouver,-122.59657,45.63716,,WA,196442
PP0151000,Montgomery,-86.26731,32.34850,,AL,195287
PP0636000,Huntington Beach,-118.00383,33.69801,,CA,192129
PP4459000,Providence,-71.41878,41.82306,,RI,190792
PP4810768,Brownsville,-97.45085,25.99569,,TX,190158
PP0473000,Tempe,-111.93178,33.38841,,AZ,189834
PP3901000,Akron,-81.52143,41.08046,,OH,188701
PP0630000,Glendale,-118.24583,34.18139,,CA,187050
PP4714000,Chattanooga,-85.24839,35.06596,,TN,187030
PP1224000,Fort Lauderdale,-80.14673,26.14123,,FL,184255
PP5156000,Newport News,-76.52198,37.07614,,VA,183118
PP0150000,Mobile,-88.10023,30.66843,,AL,182595
PP0653896,Ontario,-117.60443,34.03765,,CA,182457
PP4715160,Clarksville,-87.34522,36.56643,,TN,180716
PP3710740,Cary,-78.82344,35.78130,,NC,180010
PP0622020,Elk Grove,-121.38496,38.41462,,CA,178444
PP2270000,Shreveport,-93.79219,32.46688,,LA,177959
PP4123850,Eugene,-123.11902,44.05685,,OR,177899
PP1703012,Aurora,-88.29010,41.76346,,IL,177563
PP4164900,Salem,-123.02301,44.92390,,OR,177432
PP0670098,Santa Rosa,-122.70618,38.44582,,CA,175845
PP0659451,Rancho Cucamonga,-117.56607,34.13031,,CA,174405
PP1255775,Pembroke Pines,-80.34017,26.01472,,FL,171119
PP0827425,Fort Collins,-105.06483,40.54822,,CO,170376
PP2970000,Springfield,-93.29264,37.19416,,MO,170188
PP0653322,Oceanside,-117.30629,33.22460,,CA,170020
PP0629000,Garden Grove,-117.96047,33.77878,,CA,168234
PP0640130,Lancaster,-118.17530,34.69356,,CA,166236
PP4751560,Murfreesboro,-86.42122,35.85392,,TN,165430
PP0655156,Palmdale,-118.10540,34.59104,,CA,161404
PP0616350,Corona,-117.56549,33.86197,,CA,160238
PP4839148,Killeen,-97.73195,31.07767,,TX,159643
PP0664224,Salinas,-121.63379,36.69022,,CA,159506
PP0662938,Roseville,-121.31963,38.77030,,CA,159135
PP4819972,Denton,-97.14135,33.21745,,TX,158349
PP0471510,Surprise,-112.45255,33.67080,,AZ,158285
PP1349008,Macon-Bibb County,-83.69419,32.80884,,GA,156512
PP3457000,Paterson,-74.16283,40.91477,,NJ,156452
PP0843000,Lakewood,-105.11757,39.69894,,CO,155961
PP0633000,Hayward,-122.10402,37.62683,,CA,155675
PP4513330,Charleston,-79.97290,32.82802,,SC,155369
PP5101000,Alexandria,-77.08367,38.81925,,VA,155230
PP1232000,Hollywood,-80.16461,26.03097,,FL,153859
PP2567000,Springfield,-72.53998,42.11545,,MA,153672
PP2036000,Kansas City,-94.74178,39.12254,,KS,152933
PP0677000,Sunnyvale,-122.02632,37.38580,,CA,151967
PP5305210,Bellevue,-122.15648,47.59784,,WA,151574
PP1738570,Joliet,-88.14885,41.51770,,IL,150489
PP1751622,Naperville,-88.16202,41.74917,,IL,150245
PP0622804,Escondido,-117.07404,33.13305,,CA,148122
PP0908000,Bridgeport,-73.19576,41.18739,,CT,148028
PP1369000,Savannah,-81.19649,32.01804,,GA,147748
PP2052575,Olathe,-94.82005,38.88203,,KS,147461
PP4847892,Mesquite,-96.58416,32.75955,,TX,147317
PP4856000,Pasadena,-95.15105,29.65500,,TX,146716
PP4845384,McAllen,-98.24608,26.22497,,TX,146593
PP1765000,Rockford,-89.06455,42.25884,,IL,146120
PP1225175,Gainesville,-82.34679,29.67954,,FL,145812
PP3673000,Syracuse,-76.14355,43.04100,,NY,145560
PP0658072,Pomona,-117.76109,34.05849,,CA,145502
PP0682954,Visalia,-119.32852,36.32803,,CA,144998
PP0877290,Thornton,-104.94141,39.92043,,CO,144922
PP4876000,Waco,-97.18975,31.55799,,TX,144816
PP2836000,Jackson,-90.21285,32.31583,,MS,143709
PP4516000,Columbia,-80.90610,34.04052,,SC,142416
PP0628000,Fullerton,-117.92803,33.88572,,CA,139250
PP0680000,Torrance,-118.35662,33.83045,,CA,139224
PP0682590,Victorville,-117.35358,34.52773,,CA,138869
PP4848072,Midland,-102.11347,32.02464,,TX,138397
PP0653980,Orange,-117.86127,33.78697,,CA,138337
PP1245975,Miramar,-80.33858,25.97253,,FL,138319
PP5135000,Hampton,-76.29729,37.04796,,VA,137098
PP2684000,Warren,-83.02500,42.49290,,MI,136655
PP0973000,Stamford,-73.54608,41.07961,,CT,136226
PP1912000,Cedar Rapids,-91.67890,41.96585,,IA,135958
PP3421000,Elizabeth,-74.19350,40.66637,,NJ,135829
PP1254000,Palm Bay,-80.65828,27.96489,,FL,135566
PP3921000,Dayton,-84.19963,39.78474,,OH,135512
PP0952000,New Haven,-72.92495,41.31081,,CT,135319
PP1214400,Coral Springs,-80.25930,26.27072,,FL,134906
PP1652120,Meridian,-116.40066,43.61149,,ID,134801
PP4983470,West Valley City,-112.01176,40.68849,,UT,134470
PP0656000,Pasadena,-118.13795,34.16060,,CA,133560
PP4842508,Lewisville,-96.97462,33.05072,,TX,133553
PP5335415,Kent,-122.21273,47.38797,,WA,133378
PP2676460,Sterling Heights,-83.03032,42.58121,,MI,133306
PP3825700,Fargo,-96.82908,46.86470,,ND,133188
PP4813024,Carrollton,-96.89994,32.98939,,TX,132918
PP0669084,Santa Clara,-121.96797,37.36462,,CA,131062
PP4863500,Round Rock,-97.66008,30.52677,,TX,130406
PP4052500,Norman,-97.34530,35.24057,,OK,130046
PP2915670,Columbia,-92.32639,38.94729,,MO,129330
PP4801000,Abilene,-99.73815,32.45451,,TX,129043
PP1303440,Athens-Clarke County,-83.37009,33.94960,,GA,128628
PP4856348,Pearland,-95.32301,29.55573,,TX,127736
PP0614218,Clovis,-119.68492,36.82897,,CA,125826
PP2071000,Topeka,-95.69482,39.03468,,KS,125475
PP4815976,College Station,-96.29636,30.58516,,TX,125192
PP0672016,Simi Valley,-118.74846,34.26689,,CA,125113
PP4202000,Allentown,-75.47839,40.59365,,PA,124880
PP1276600,West Palm Beach,-80.12704,26.74511,,FL,124130
PP0678582,Thousand Oaks,-118.87423,34.19329,,CA,123463
PP0681666,Vallejo,-122.26234,38.10691,,CA,122807
PP3774440,Wilmington,-77.88577,34.20923,,NC,122698
PP2754880,Rochester,-92.47859,44.01430,,MN,122413
