# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP01453,01453,-71.76332,42.51997
ZIP01460,01460,-71.49057,42.53593
ZIP01462,01462,-71.72046,42.58261
ZIP01463,01463,-71.60286,42.67064
ZIP01464,01464,-71.64099,42.57365
ZIP01468,01468,-72.06834,42.54277
ZIP01469,01469,-71.69505,42.66479
ZIP01473,01473,-71.90544,42.55460
ZIP01474,01474,-71.74838,42.67314
ZIP01475,01475,-72.05564,42.66816
ZIP01501,01501,-71.84572,42.19887
ZIP01503,01503,-71.63389,42.38493
ZIP01504,01504,-71.53241,42.03999
ZIP01505,01505,-71.71616,42.35505
ZIP01506,01506,-72.10789,42.18081
ZIP01507,01507,-71.96802,42.13394
ZIP01510,01510,-71.69000,42.41189
ZIP01515,01515,-72.04018,42.20968
ZIP01516,01516,-71.75224,42.05307
ZIP01518,01518,-72.11369,42.10833
ZIP01519,01519,-71.67974,42.20340
ZIP01520,01520,-71.85428,42.33418
ZIP01521,01521,-72.18021,42.04678
ZIP01522,01522,-71.86738,42.37563
ZIP01523,01523,-71.67558,42.48357
ZIP01524,01524,-71.91757,42.24603
ZIP01525,01525,-71.64296,42.09900
ZIP01527,01527,-71.77765,42.19225
ZIP01529,01529,-71.57878,42.03664
ZIP01531,01531,-72.13343,42.32618
ZIP01532,01532,-71.64624,42.32334
ZIP01534,01534,-71.64500,42.13890
ZIP01535,01535,-72.06688,42.26756
ZIP01536,01536,-71.69264,42.23131
ZIP01537,01537,-71.89705,42.15897
ZIP01540,01540,-71.86085,42.11373
ZIP01541,01541,-71.87754,42.45412
ZIP01542,01542,-71.90891,42.20425
ZIP01543,01543,-71.96986,42.38829
ZIP01545,01545,-71.71423,42.28477
ZIP01550,01550,-72.03391,42.05974
ZIP01560,01560,-71.67422,42.17540
ZIP01561,01561,-71.68848,42.44582
ZIP01562,01562,-71.99187,42.24721
ZIP01564,01564,-71.77604,42.44792
ZIP01566,01566,-72.07954,42.10321
ZIP01568,01568,-71.60632,42.17753
ZIP01569,01569,-71.63113,42.05592
ZIP01570,01570,-71.84622,42.04925
ZIP01571,01571,-71.93507,42.05378
ZIP01581,01581,-71.61331,42.26843
ZIP01583,01583,-71.78936,42.37536
ZIP01585,01585,-72.16222,42.23691
ZIP01588,01588,-71.66461,42.11611
ZIP01590,01590,-71.75032,42.13205
ZIP01602,01602,-71.85073,42.26919
ZIP01603,01603,-71.84357,42.24383
ZIP01604,01604,-71.76793,42.25348
ZIP01605,01605,-71.78779,42.28968
ZIP01606,01606,-71.79418,42.31389
ZIP01607,01607,-71.78889,42.22597
ZIP01608,01608,-71.80143,42.26209
